Sorting Algorithm, Size, Swaps, Comparisons, Function Calls, Time Taken
Bubble Sort, 1000, 254554, 499500, 1, 0.003000
Bubble Sort, 2000, 1001456, 1999000, 1, 0.009000
Bubble Sort, 3000, 2237298, 4498500, 1, 0.033000
Bubble Sort, 4000, 3934058, 7998000, 1, 0.060000
Bubble Sort, 5000, 6138975, 12497500, 1, 0.082000
Bubble Sort, 6000, 8833508, 17997000, 1, 0.087000
Bubble Sort, 7000, 11949020, 24496500, 1, 0.201000
Bubble Sort, 8000, 15847752, 31996000, 1, 0.297000
Bubble Sort, 9000, 20218657, 40495500, 1, 0.260000
Bubble Sort, 10000, 25154469, 49995000, 1, 0.383000
Selection Sort, 1000, 999, 499500, 1, 0.001000
Selection Sort, 2000, 1999, 1999000, 1, 0.006000
Selection Sort, 3000, 2999, 4498500, 1, 0.013000
Selection Sort, 4000, 3999, 7998000, 1, 0.022000
Selection Sort, 5000, 4999, 12497500, 1, 0.040000
Selection Sort, 6000, 5999, 17997000, 1, 0.050000
Selection Sort, 7000, 6999, 24496500, 1, 0.078000
Selection Sort, 8000, 7999, 31996000, 1, 0.089000
Selection Sort, 9000, 8999, 40495500, 1, 0.116000
Selection Sort, 10000, 9999, 49995000, 1, 0.137000
Insertion Sort, 1000, 255552, 254554, 1, 0.001000
Insertion Sort, 2000, 1003454, 1001456, 1, 0.004000
Insertion Sort, 3000, 2240294, 2237298, 1, 0.007000
Insertion Sort, 4000, 3938052, 3934058, 1, 0.015000
Insertion Sort, 5000, 6143969, 6138975, 1, 0.022000
Insertion Sort, 6000, 8839502, 8833508, 1, 0.032000
Insertion Sort, 7000, 11956014, 11949020, 1, 0.052000
Insertion Sort, 8000, 15855746, 15847752, 1, 0.059000
Insertion Sort, 9000, 20227651, 20218657, 1, 0.078000
Insertion Sort, 10000, 25164463, 25154469, 1, 0.097000
Count Sort, 1000, 6, 1998, 1, 0.000000
Count Sort, 2000, 7, 3998, 1, 0.000000
Count Sort, 3000, 9, 5998, 1, 0.000000
Count Sort, 4000, 13, 7998, 1, 0.000000
Count Sort, 5000, 13, 9998, 1, 0.000000
Count Sort, 6000, 13, 11998, 1, 0.000000
Count Sort, 7000, 13, 13998, 1, 0.000000
Count Sort, 8000, 13, 15998, 1, 0.000000
Count Sort, 9000, 13, 17998, 1, 0.000000
Count Sort, 10000, 13, 19998, 1, 0.000000
Merge Sort, 1000, 9976, 8727, 2998, 0.000000
Merge Sort, 2000, 21952, 19445, 5998, 0.000000
Merge Sort, 3000, 34904, 30972, 8998, 0.000000
Merge Sort, 4000, 47904, 42886, 11998, 0.001000
Merge Sort, 5000, 61808, 55269, 14998, 0.001000
Merge Sort, 6000, 75808, 67903, 17998, 0.002000
Merge Sort, 7000, 89808, 80710, 20998, 0.002000
Merge Sort, 8000, 103808, 93732, 23998, 0.002000
Merge Sort, 9000, 118616, 107032, 26998, 0.002000
Merge Sort, 10000, 133616, 120530, 29998, 0.003000
Quick Sort, 1000, 5060, 11226, 1990, 0.000000
Quick Sort, 2000, 12170, 26550, 4471, 0.000000
Quick Sort, 3000, 17744, 43682, 7258, 0.000000
Quick Sort, 4000, 26741, 64342, 10117, 0.000000
Quick Sort, 5000, 31774, 88044, 13054, 0.000000
Quick Sort, 6000, 40238, 111284, 16009, 0.001000
Quick Sort, 7000, 45251, 137563, 18937, 0.001000
Quick Sort, 8000, 49257, 162389, 21880, 0.001000
Quick Sort, 9000, 52462, 185817, 24775, 0.001000
Quick Sort, 10000, 69361, 222955, 27742, 0.001000
